"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-01-31,60826,"07838","NJ","Allentown-Bethlehem-Easton","Warren County","Liberty",12946,300900,-0.00165892501658925,0.000332446808510638,0.045881126173097,0.0243474071950258,-0.00930900621257225,"2006-12","2006-Q4",392500,-0.233375796178344,"2003-10"
2019-01-31,77950,"46071","IN","Indianapolis-Carmel-Anderson","Boone County","Thorntown",12947,159300,-0.004375,0.00188679245283019,0.0648395721925134,0.0476863464468469,0.0252845178578767,"2018-12","2018-Q4",160000,-0.004375,"2018-11"
2019-01-31,81956,"54889","WI",,"Barron County","Turtle Lake",12948,149000,-0.00798934753661784,-0.0152015862524785,0.0390516039051604,0.0537184154004693,0.0135788236767751,"2004-11","2004-Q4",155800,-0.0436456996148909,"2004-07"
2019-01-31,99197,"97327","OR","Albany","Linn County","Brownsville",12949,259400,0.00816167897396036,0.0240821160679037,0.107127614169868,0.104657525860018,0.040620032650567,"2019-01","2019-Q1",259400,0,"2019-01"
2019-01-31,59249,"03855","NH","Boston-Cambridge-Newton","Strafford County","New Durham",12950,253300,-0.000394632991318074,0.00197784810126582,0.0479933802234175,0.0334268830114985,0.0193125020862133,"2006-01","2006-Q1",255000,-0.00666666666666667,"2005-11"
2019-01-31,59556,"04562","ME","Portland-South Portland","Sagadahoc County","Phippsburg",12951,320400,0.000312207305650952,-0.0015581177937052,0.0272523244629689,0.0454112541113116,0.0256146438763591,"2006-01","2006-Q1",331200,-0.0326086956521739,
2019-01-31,82437,"55768","MN","Duluth","Saint Louis County","Mountain Iron",12952,129000,-0.00845503458877786,-0.0130068859984698,0.0687655343827672,0.0250309335349035,0.0234612582094509,"2018-11","2018-Q4",131000,-0.0152671755725191,"2018-08"
2019-01-31,78345,"46929","IN","Lafayette-West Lafayette","Carroll County","Flora",12953,106000,0.00856327307326356,0.0104861773117255,0.115789473684211,0.094461322438979,0.0243917834749225,"2019-01","2019-Q1",106000,0,"2019-01"
2019-01-31,69743,"28137","NC","Albemarle","Stanly County","Richfield",12954,170500,0.00768321513002364,0.0302114803625378,0.127645502645503,0.0593481339225763,0.0200506130398144,"2019-01","2019-Q1",170500,0,"2019-01"
2019-01-31,82013,"54970","WI",,"Waushara County","Redgranite",12955,99800,0.0204498977505112,0.0560846560846561,0.131519274376417,0.0426273293825754,0.00960693578886707,"2019-01","2019-Q1",99800,0,"2019-01"
2019-01-31,90028,"73449","OK","Durant","Bryan County","Mead",12956,121400,-0.00573300573300573,-0.00246507806080526,0.104640582347589,0.0591075450599468,0.0415514613603014,"2018-11","2018-Q4",122200,-0.00654664484451719,"2018-10"
2019-01-31,60872,"07931","NJ","New York-Newark-Jersey City","Somerset County","Far Hills",12957,939300,0.000639181847235538,-0.00959510754955715,0.021978021978022,-0.0108183673702917,-0.016983661446543,"2006-06","2006-Q2",1277900,-0.26496595977776,"2002-08"
2019-01-31,74060,"36850","AL","Alexander City","Tallapoosa County","Camp Hill",12958,64000,0,0.0174880763116057,0.274900398406374,0.0706159654451923,0.0147182801680474,"2007-01","2007-Q1",72800,-0.120879120879121,
2019-01-31,82404,"55723","MN","Duluth","Saint Louis County","Cook",12959,141000,-0.0112201963534362,-0.0126050420168067,0.0930232558139535,0.0603290855574556,0.0382203413789834,"2018-11","2018-Q4",143500,-0.0174216027874564,"2018-07"
2019-01-31,70079,"28626","NC",,"Ashe County","Fleetwood",12960,191900,-0.00156087408949011,-0.0123520329387545,0.0684855233853007,0.0561957698961733,0.0373428870421784,"2018-10","2018-Q4",194300,-0.0123520329387545,"2018-09"
2019-01-31,85383,"62264","IL","St. Louis","Saint Clair County","New Athens",12961,74300,-0.00268456375838926,-0.0425257731958763,-0.0894607843137255,-0.0361100081598486,-0.0314739237436317,"2010-10","2010-Q4",106200,-0.300376647834275,"1999-07"
2019-01-31,69692,"28071","NC","Charlotte-Concord-Gastonia","Rowan County","Gold Hill",12962,158600,-0.006265664160401,-0.0323367907260525,-0.0161290322580645,0.057893153628467,0.0160911041337279,"2018-05","2018-Q2",178000,-0.108988764044944,"2017-11"
2019-01-31,75415,"39750","MS",,"Webster County","Maben",12963,125600,0.00239425379090184,0.0295081967213115,0.126457399103139,0.0661024961870211,,"2019-01","2019-Q1",125600,0,"2019-01"
2019-01-31,64880,"17049","PA",,"Juniata County","Fayette",12964,155700,0.00193050193050193,0.014993481095176,0.0679012345679012,0.0393090709508146,0.016189045353258,"2019-01","2019-Q1",155700,0,"2019-01"
